Country,Year,Food_Category,Total_Waste_Tons,Economic_Loss_Million_USD,Avg_Waste_per_Capita_Kg,Population_Million,Household_Waste_Pct,Continent,Industrial_Waste_Pct
India,2021,Beverages,26564.19,"$27,462.76",143.15,968.3,47.61,Asia,52.39
Australia,2018,Fruits & Vegetables,6384.32,"$6,500.24",131.96,1347.4,45.12,Oceania,54.88
Germany,2023,Fruits & Vegetables,47934.04,"$50,098.02",34.45,164.1,56.89,Europe,43.11
Brazil,2021,Beverages,10524.21,"$10,525.80",92.70,516.4,47.55,South America,52.45
Argentina,2020,Frozen Food,9867.20,"$10,190.91",35.53,933.4,45.79,South America,54.21
Canada,2022,Beverages,10556.10,"$8,660.98",132.60,1304.6,34.11,North America,65.89
Argentina,2018,Beverages,38787.71,"$40,830.20",109.43,257.7,30.05,South America,69.95
UK,2021,Prepared Food,19973.26,"$16,207.35",33.34,1323.4,43.07,Europe,56.93
USA,2020,Meat & Seafood,5586.67,"$6,335.73",128.71,123.9,65.14,North America,34.86
Canada,2019,Frozen Food,19895.86,"$16,559.20",117.48,676.2,46.32,North America,53.68
Mexico,2021,Fruits & Vegetables,25078.26,"$26,956.34",73.80,26.8,45.74,North America,54.26
South Africa,2021,Grains & Cereals,17683.85,"$19,953.54",142.89,27.8,50.01,Africa,49.99
China,2018,Frozen Food,46992.34,"$43,440.35",34.97,1108.8,34.74,Asia,65.26
China,2019,Prepared Food,35773.59,"$30,260.75",176.57,752.2,38.07,Asia,61.93
France,2018,Dairy Products,18461.93,"$18,682.59",192.66,596.5,44.13,Europe,55.87
South Africa,2022,Bakery Items,9084.81,"$9,106.69",114.47,640.8,57.48,Africa,42.52
Mexico,2022,Dairy Products,36705.17,"$33,000.48",151.23,1135.5,49.50,North America,50.5
Japan,2020,Prepared Food,47608.92,"$55,268.50",52.68,618.6,69.99,Asia,30.01
USA,2023,Frozen Food,21314.10,"$23,935.46",163.08,482.2,62.02,North America,37.98
Russia,2022,Beverages,40109.93,"$42,459.75",195.77,928.3,63.71,Europe,36.29
Turkey,2018,Beverages,21358.00,"$19,292.78",49.13,1271.2,34.68,Asia,65.32
Canada,2022,Dairy Products,17139.36,"$17,798.58",79.47,296.3,30.60,North America,69.4
Spain,2019,Frozen Food,17056.70,"$18,974.15",40.33,1288.4,49.21,Europe,50.79
South Africa,2022,Fruits & Vegetables,44413.09,"$50,839.16",101.44,731.4,45.24,Africa,54.76
Brazil,2024,Dairy Products,4539.78,"$4,398.12",153.06,729.5,66.11,South America,33.89
South Africa,2022,Bakery Items,40533.78,"$42,367.39",197.89,425.8,46.35,Africa,53.65
Argentina,2021,Fruits & Vegetables,47961.64,"$51,338.33",198.04,1359.8,67.49,South America,32.51
South Korea,2022,Fruits & Vegetables,36243.19,"$32,173.44",22.91,1359.3,59.50,Asia,40.5
South Korea,2024,Bakery Items,935.82,$926.19,149.58,848.5,53.24,Asia,46.76
Canada,2021,Fruits & Vegetables,12275.04,"$10,684.70",161.59,398.1,35.28,North America,64.72
South Africa,2024,Frozen Food,2950.20,"$3,293.61",53.62,221.1,61.88,Africa,38.12
China,2023,Meat & Seafood,15959.71,"$14,776.27",120.64,1363.7,51.99,Asia,48.01
Italy,2024,Frozen Food,41621.75,"$42,568.89",187.12,571.3,34.87,Europe,65.13
South Korea,2019,Fruits & Vegetables,32587.94,"$27,049.03",62.45,1106.8,31.58,Asia,68.42
Argentina,2022,Bakery Items,40689.92,"$32,794.75",52.19,884.3,55.33,South America,44.67
Mexico,2023,Meat & Seafood,5096.32,"$6,100.30",102.10,789.9,67.45,North America,32.55
Australia,2023,Beverages,30967.14,"$35,080.79",25.27,1108.8,50.08,Oceania,49.92
Turkey,2018,Dairy Products,44408.20,"$42,230.09",181.63,1088.0,64.07,Asia,35.93
Spain,2020,Dairy Products,6479.12,"$5,684.01",128.50,1227.9,31.48,Europe,68.52
Argentina,2020,Meat & Seafood,40388.03,"$42,433.51",25.64,1142.5,37.64,South America,62.36
Germany,2019,Fruits & Vegetables,17074.89,"$15,502.26",199.14,380.9,40.80,Europe,59.2
Australia,2019,Prepared Food,33214.40,"$33,722.37",26.48,478.9,45.14,Oceania,54.86
Turkey,2020,Fruits & Vegetables,37498.56,"$37,175.40",140.93,1370.5,41.44,Asia,58.56
Japan,2019,Beverages,46617.87,"$55,386.00",187.18,276.9,59.46,Asia,40.54
USA,2023,Dairy Products,1350.66,"$1,486.33",126.25,916.9,45.74,North America,54.26
Indonesia,2020,Fruits & Vegetables,16895.67,"$19,414.99",27.40,756.9,39.93,Asia,60.07
India,2023,Grains & Cereals,2196.07,"$1,810.24",25.67,169.5,35.00,Asia,65
France,2020,Dairy Products,15377.13,"$14,750.52",194.07,133.2,64.41,Europe,35.59
Italy,2023,Beverages,10984.97,"$13,178.29",78.50,320.9,55.25,Europe,44.75
Australia,2022,Beverages,43272.07,"$44,745.57",127.93,1079.9,34.64,Oceania,65.36
India,2019,Grains & Cereals,4349.10,"$5,041.08",27.44,695.0,34.40,Asia,65.6
Japan,2020,Frozen Food,3590.10,"$3,913.05",105.44,591.6,30.70,Asia,69.3
Turkey,2022,Fruits & Vegetables,39587.56,"$38,946.61",184.85,1328.8,57.33,Asia,42.67
UK,2022,Prepared Food,44113.00,"$47,014.28",192.98,967.4,59.65,Europe,40.35
India,2020,Grains & Cereals,30731.43,"$33,663.23",99.01,1181.1,50.54,Asia,49.46
USA,2024,Beverages,32046.76,"$37,019.97",102.53,1308.2,33.08,North America,66.92
China,2019,Dairy Products,24714.37,"$20,754.62",173.49,1279.2,61.83,Asia,38.17
USA,2018,Prepared Food,18484.48,"$17,390.51",101.13,337.5,64.26,North America,35.74
South Africa,2022,Meat & Seafood,1474.04,"$1,208.28",104.39,828.2,31.77,Africa,68.23
UK,2018,Beverages,6534.01,"$5,653.64",140.44,628.4,48.27,Europe,51.73
Japan,2021,Fruits & Vegetables,11616.43,"$13,501.93",162.67,1013.2,50.58,Asia,49.42
France,2020,Grains & Cereals,16326.39,"$17,607.06",70.39,1357.5,55.55,Europe,44.45
India,2018,Frozen Food,47617.94,"$39,530.96",197.97,157.1,62.59,Asia,37.41
Japan,2023,Dairy Products,43696.87,"$35,154.77",189.95,907.7,57.32,Asia,42.68
South Korea,2020,Bakery Items,6408.00,"$6,276.80",187.43,731.3,64.21,Asia,35.79
Russia,2021,Frozen Food,15288.73,"$16,576.42",197.71,826.6,37.05,Europe,62.95
Canada,2023,Prepared Food,30183.19,"$24,591.72",115.97,695.4,51.22,North America,48.78
Germany,2022,Beverages,49956.72,"$54,284.18",115.03,327.5,33.73,Europe,66.27
Indonesia,2022,Meat & Seafood,15785.95,"$14,969.94",89.02,1219.2,42.42,Asia,57.58
South Africa,2018,Prepared Food,27911.93,"$29,353.37",35.89,728.1,38.27,Africa,61.73
Brazil,2019,Meat & Seafood,30939.10,"$26,174.28",121.45,623.2,58.20,South America,41.8
Turkey,2024,Prepared Food,21645.26,"$18,587.60",57.84,1101.9,44.43,Asia,55.57
Australia,2019,Dairy Products,43235.32,"$44,975.60",109.83,1188.3,56.39,Oceania,43.61
Spain,2019,Grains & Cereals,41849.81,"$42,853.46",90.87,1170.4,69.34,Europe,30.66
USA,2021,Grains & Cereals,42161.02,"$49,890.82",182.21,118.4,39.81,North America,60.19
Canada,2021,Dairy Products,44529.34,"$44,569.81",39.00,889.0,68.16,North America,31.84
Canada,2023,Meat & Seafood,24769.11,"$21,827.22",114.90,1099.0,38.93,North America,61.07
India,2022,Fruits & Vegetables,25330.28,"$23,617.35",149.22,484.0,32.41,Asia,67.59
Italy,2024,Prepared Food,8760.69,"$8,508.18",58.15,1316.5,60.80,Europe,39.2
Mexico,2018,Dairy Products,32326.04,"$30,437.47",166.36,1334.7,42.74,North America,57.26
Italy,2019,Bakery Items,7637.99,"$9,063.10",157.21,121.4,46.36,Europe,53.64
Brazil,2023,Frozen Food,32324.65,"$34,652.36",159.72,387.4,47.87,South America,52.13
Mexico,2023,Beverages,25781.28,"$22,716.09",107.49,47.5,69.31,North America,30.69
Brazil,2019,Prepared Food,35813.64,"$35,555.01",112.34,973.7,54.68,South America,45.32
USA,2020,Bakery Items,41306.47,"$46,542.54",162.14,1002.6,47.94,North America,52.06
Spain,2024,Fruits & Vegetables,8893.76,"$8,935.25",178.61,345.3,38.67,Europe,61.33
UK,2019,Dairy Products,16078.18,"$13,225.20",144.20,84.0,61.62,Europe,38.38
Mexico,2024,Beverages,5706.66,"$4,808.60",56.84,1042.8,41.37,North America,58.63
Saudi Arabia,2020,Prepared Food,37669.36,"$39,917.08",184.25,730.9,38.52,Asia,61.48
Canada,2022,Beverages,34547.54,"$27,917.66",176.46,1143.8,60.94,North America,39.06
Mexico,2024,Fruits & Vegetables,48049.54,"$43,047.97",87.00,826.0,56.03,North America,43.97
Turkey,2021,Frozen Food,9699.21,"$9,979.66",121.47,1188.8,62.32,Asia,37.68
Saudi Arabia,2022,Grains & Cereals,47226.15,"$41,252.03",192.94,1385.3,38.21,Asia,61.79
South Korea,2020,Frozen Food,24092.90,"$23,745.33",105.75,150.0,36.39,Asia,63.61
China,2019,Prepared Food,38762.84,"$37,350.95",147.43,1137.5,56.41,Asia,43.59
Russia,2024,Bakery Items,32596.97,"$30,241.12",146.23,1260.6,55.28,Europe,44.72
USA,2020,Fruits & Vegetables,9373.69,"$7,789.61",21.09,145.7,45.53,North America,54.47
South Korea,2021,Fruits & Vegetables,23807.62,"$27,875.66",144.51,1300.1,50.94,Asia,49.06
Russia,2019,Beverages,34253.70,"$38,503.82",63.77,374.1,62.81,Europe,37.19
Saudi Arabia,2023,Bakery Items,18948.39,"$17,147.31",24.01,891.9,37.56,Asia,62.44
China,2023,Bakery Items,42853.92,"$49,497.73",130.67,1040.9,58.34,Asia,41.66
Russia,2019,Grains & Cereals,33663.52,"$26,981.00",195.78,1042.9,51.34,Europe,48.66
Indonesia,2024,Grains & Cereals,26409.46,"$26,058.98",169.86,895.5,47.06,Asia,52.94
Brazil,2018,Frozen Food,33671.34,"$36,398.89",183.53,636.6,31.67,South America,68.33
Australia,2019,Bakery Items,47078.22,"$52,025.30",176.51,773.1,53.83,Oceania,46.17
South Korea,2018,Bakery Items,14013.21,"$14,906.11",84.92,1044.3,55.25,Asia,44.75
Brazil,2020,Fruits & Vegetables,7711.38,"$9,222.89",47.53,272.8,32.51,South America,67.49
Russia,2023,Dairy Products,49908.97,"$54,435.30",51.24,832.2,36.05,Europe,63.95
Indonesia,2020,Bakery Items,28737.94,"$26,128.39",158.98,683.7,53.01,Asia,46.99
Russia,2020,Frozen Food,35066.40,"$33,371.66",68.93,963.0,50.40,Europe,49.6
Spain,2023,Beverages,24355.91,"$20,283.73",108.70,37.4,31.80,Europe,68.2
Saudi Arabia,2018,Grains & Cereals,3314.83,"$3,956.84",71.60,774.1,62.51,Asia,37.49
USA,2021,Bakery Items,22114.86,"$18,136.48",82.21,280.9,57.90,North America,42.1
Italy,2020,Dairy Products,25311.77,"$28,790.90",156.00,1294.9,59.37,Europe,40.63
Brazil,2018,Grains & Cereals,17950.72,"$17,621.32",64.46,119.0,42.38,South America,57.62
India,2024,Prepared Food,26860.61,"$23,558.94",110.56,1277.1,40.86,Asia,59.14
Mexico,2024,Grains & Cereals,2223.06,"$2,636.22",22.35,129.0,68.10,North America,31.9
USA,2024,Dairy Products,30531.90,"$27,222.30",66.79,18.1,53.13,North America,46.87
India,2018,Fruits & Vegetables,49983.05,"$45,828.38",20.80,1005.9,48.07,Asia,51.93
China,2018,Dairy Products,32641.22,"$33,649.48",29.05,800.7,69.58,Asia,30.42
Japan,2019,Dairy Products,28972.22,"$24,334.05",87.14,557.4,59.83,Asia,40.17
Brazil,2019,Grains & Cereals,42849.14,"$37,496.68",103.30,239.3,46.24,South America,53.76
Spain,2020,Dairy Products,20115.27,"$18,091.98",69.71,198.4,59.91,Europe,40.09
Mexico,2019,Dairy Products,34834.99,"$33,285.12",81.90,1148.5,59.01,North America,40.99
Germany,2023,Prepared Food,13477.56,"$14,833.40",132.43,719.6,31.27,Europe,68.73
South Korea,2021,Bakery Items,1127.88,"$1,005.91",94.53,440.2,33.33,Asia,66.67
Italy,2022,Bakery Items,26687.00,"$26,492.81",99.71,396.8,51.39,Europe,48.61
Brazil,2018,Bakery Items,24847.80,"$26,455.31",39.69,692.5,65.88,South America,34.12
Canada,2021,Dairy Products,24418.40,"$21,610.34",176.84,987.2,69.04,North America,30.96
Mexico,2022,Fruits & Vegetables,26877.12,"$26,874.74",74.08,1219.6,41.75,North America,58.25
Russia,2024,Bakery Items,43678.73,"$40,983.77",176.71,326.2,34.11,Europe,65.89
Russia,2019,Fruits & Vegetables,21146.30,"$17,578.46",115.34,812.8,46.09,Europe,53.91
UK,2020,Bakery Items,20876.51,"$21,824.19",168.68,119.6,58.62,Europe,41.38
Russia,2019,Fruits & Vegetables,45688.79,"$44,285.07",116.59,1177.3,62.81,Europe,37.19
Italy,2019,Prepared Food,48422.76,"$49,050.70",36.49,159.7,36.35,Europe,63.65
Turkey,2021,Grains & Cereals,11214.43,"$9,089.30",123.53,455.2,49.29,Asia,50.71
Italy,2021,Fruits & Vegetables,9424.16,"$8,884.31",163.74,81.3,67.00,Europe,33
Spain,2024,Frozen Food,30509.11,"$31,009.16",125.06,1285.9,32.40,Europe,67.6
Brazil,2020,Frozen Food,13813.99,"$16,464.36",61.12,432.9,32.02,South America,67.98
Argentina,2018,Bakery Items,14956.55,"$15,630.11",50.43,385.5,49.79,South America,50.21
India,2020,Beverages,41798.12,"$48,640.24",82.44,1173.6,54.26,Asia,45.74
India,2018,Frozen Food,40479.28,"$33,378.70",185.39,1239.7,31.03,Asia,68.97
Italy,2023,Prepared Food,15981.86,"$19,043.85",191.24,1338.4,42.45,Europe,57.55
Germany,2023,Frozen Food,11184.15,"$12,986.34",180.49,1154.2,65.90,Europe,34.1
Japan,2023,Dairy Products,23379.09,"$20,570.08",141.42,579.5,60.32,Asia,39.68
Russia,2020,Beverages,40775.15,"$34,379.38",82.52,587.4,52.07,Europe,47.93
Spain,2021,Fruits & Vegetables,47976.21,"$45,894.33",104.26,1073.7,41.47,Europe,58.53
Spain,2021,Grains & Cereals,2734.80,"$2,579.47",139.24,440.4,56.87,Europe,43.13
Spain,2019,Beverages,37901.73,"$35,252.74",180.10,131.0,59.78,Europe,40.22
USA,2021,Fruits & Vegetables,27982.15,"$25,008.04",87.15,979.1,38.26,North America,61.74
South Korea,2018,Grains & Cereals,19073.34,"$20,965.73",77.95,1328.5,69.56,Asia,30.44
Australia,2022,Grains & Cereals,42604.34,"$42,108.82",182.62,685.2,56.14,Oceania,43.86
Italy,2019,Grains & Cereals,15857.62,"$15,350.46",113.55,454.7,34.95,Europe,65.05
Mexico,2024,Dairy Products,40124.91,"$33,316.74",111.39,917.7,56.47,North America,43.53
Indonesia,2021,Frozen Food,8342.58,"$6,932.62",122.26,882.7,68.01,Asia,31.99
Japan,2019,Beverages,32753.94,"$36,813.62",79.78,702.2,43.49,Asia,56.51
South Africa,2021,Meat & Seafood,32082.10,"$34,030.37",32.37,231.7,34.11,Africa,65.89
Spain,2024,Prepared Food,33758.23,"$37,398.90",81.66,115.7,57.86,Europe,42.14
Italy,2019,Bakery Items,13881.37,"$14,466.86",96.04,1225.5,65.25,Europe,34.75
Mexico,2020,Dairy Products,33048.31,"$35,895.81",119.43,359.1,61.52,North America,38.48
Italy,2022,Prepared Food,37308.08,"$36,947.35",118.13,873.6,32.28,Europe,67.72
Argentina,2023,Prepared Food,42635.97,"$48,447.86",33.33,339.7,34.39,South America,65.61
Australia,2020,Prepared Food,3265.99,"$3,537.61",45.48,522.5,64.34,Oceania,35.66
Spain,2023,Dairy Products,10056.39,"$10,564.40",45.67,1079.5,66.18,Europe,33.82
Italy,2022,Prepared Food,28613.26,"$33,929.54",172.13,477.7,44.32,Europe,55.68
Turkey,2024,Beverages,4702.02,"$4,546.38",199.36,373.6,60.38,Asia,39.62
Japan,2024,Bakery Items,43213.81,"$35,272.67",127.87,57.2,50.07,Asia,49.93
Brazil,2021,Meat & Seafood,17279.53,"$19,486.08",24.48,467.6,69.15,South America,30.85
South Korea,2019,Fruits & Vegetables,7439.96,"$6,975.64",65.91,924.3,45.12,Asia,54.88
France,2024,Dairy Products,36879.91,"$39,028.57",32.11,425.7,44.35,Europe,55.65
Germany,2018,Bakery Items,10122.02,"$8,555.14",183.65,638.0,64.61,Europe,35.39
Japan,2022,Beverages,44882.71,"$51,488.54",83.65,1024.4,52.93,Asia,47.07
USA,2021,Meat & Seafood,29313.17,"$28,556.57",151.53,295.9,62.71,North America,37.29
Italy,2019,Dairy Products,49769.70,"$55,384.98",192.45,410.1,58.01,Europe,41.99
Spain,2023,Grains & Cereals,39658.68,"$38,532.97",106.97,653.3,36.15,Europe,63.85
Canada,2024,Prepared Food,48831.48,"$45,814.10",184.30,240.7,34.59,North America,65.41
Italy,2018,Dairy Products,14875.15,"$13,836.81",92.03,1043.7,42.50,Europe,57.5
UK,2020,Beverages,808.24,$945.46,92.01,615.9,67.28,Europe,32.72
Brazil,2024,Grains & Cereals,12092.46,"$10,878.27",74.15,359.2,44.27,South America,55.73
South Korea,2018,Bakery Items,813.66,$862.67,41.04,1303.3,61.43,Asia,38.57
Australia,2018,Bakery Items,38680.89,"$42,893.42",77.35,94.2,33.20,Oceania,66.8
USA,2018,Prepared Food,11298.52,"$9,437.01",27.92,1153.7,38.60,North America,61.4
Germany,2022,Prepared Food,47978.53,"$48,842.03",114.25,111.8,58.91,Europe,41.09
Turkey,2024,Fruits & Vegetables,30040.55,"$35,060.51",70.12,851.5,61.42,Asia,38.58
Spain,2020,Prepared Food,30736.64,"$33,989.30",109.74,408.2,31.59,Europe,68.41
Indonesia,2024,Frozen Food,43684.35,"$50,495.65",88.83,250.7,67.41,Asia,32.59
USA,2024,Fruits & Vegetables,43881.40,"$35,413.78",108.20,1097.3,57.10,North America,42.9
Turkey,2024,Bakery Items,32356.46,"$32,169.71",153.32,743.3,35.49,Asia,64.51
South Africa,2023,Fruits & Vegetables,27944.44,"$23,988.32",188.25,620.8,31.72,Africa,68.28
France,2021,Prepared Food,10977.89,"$11,812.26",88.06,156.6,47.51,Europe,52.49
Mexico,2022,Beverages,38332.25,"$35,162.41",33.43,1343.9,60.76,North America,39.24
Brazil,2019,Bakery Items,10931.38,"$10,444.62",136.92,1078.2,41.39,South America,58.61
Russia,2020,Prepared Food,48264.24,"$43,540.42",142.31,242.8,60.24,Europe,39.76
Canada,2023,Fruits & Vegetables,44552.68,"$51,187.91",45.36,281.3,33.74,North America,66.26
Spain,2020,Fruits & Vegetables,34268.14,"$29,301.39",108.74,63.1,61.40,Europe,38.6
Italy,2018,Bakery Items,43714.42,"$49,967.62",153.43,486.7,32.24,Europe,67.76
South Korea,2018,Prepared Food,23125.88,"$22,324.70",96.26,1353.4,35.13,Asia,64.87
Japan,2018,Meat & Seafood,19376.12,"$20,946.42",29.30,771.4,67.52,Asia,32.48
USA,2022,Grains & Cereals,4429.76,"$5,034.96",100.20,977.9,43.67,North America,56.33
Australia,2024,Beverages,15627.62,"$13,532.11",56.23,1002.4,36.90,Oceania,63.1
Australia,2021,Meat & Seafood,23064.21,"$23,466.58",108.85,1007.9,48.96,Oceania,51.04
Indonesia,2020,Grains & Cereals,20249.23,"$18,434.60",105.22,329.4,41.09,Asia,58.91
Canada,2021,Beverages,29725.21,"$25,214.94",193.35,704.8,50.22,North America,49.78
France,2020,Fruits & Vegetables,18663.02,"$18,865.79",182.52,904.0,47.99,Europe,52.01
South Africa,2023,Fruits & Vegetables,23761.59,"$22,926.52",90.49,726.4,44.46,Africa,55.54
Russia,2024,Bakery Items,49583.39,"$41,007.19",160.65,411.1,50.94,Europe,49.06
USA,2020,Dairy Products,48894.02,"$41,176.49",187.16,46.5,59.84,North America,40.16
Brazil,2020,Beverages,31926.79,"$26,501.35",37.62,1058.7,42.97,South America,57.03
Canada,2022,Dairy Products,48968.97,"$47,044.66",174.05,766.5,51.77,North America,48.23
South Korea,2021,Bakery Items,22213.58,"$21,456.53",99.80,161.4,32.74,Asia,67.26
China,2024,Dairy Products,38492.62,"$35,957.74",140.84,563.0,35.00,Asia,65
China,2019,Bakery Items,23737.15,"$28,424.05",72.28,890.6,68.20,Asia,31.8
France,2019,Meat & Seafood,25102.89,"$20,756.50",71.75,876.6,33.46,Europe,66.54
South Africa,2021,Meat & Seafood,39326.74,"$37,769.88",119.13,61.8,33.36,Africa,66.64
South Korea,2022,Meat & Seafood,19778.66,"$17,597.46",157.66,251.9,38.61,Asia,61.39
Russia,2022,Meat & Seafood,42078.64,"$35,469.58",22.55,1352.6,43.07,Europe,56.93
India,2023,Bakery Items,16867.17,"$15,111.95",47.19,1024.5,59.32,Asia,40.68
Saudi Arabia,2018,Meat & Seafood,43902.22,"$50,029.10",130.72,1028.6,31.05,Asia,68.95
Japan,2021,Beverages,49873.30,"$41,839.46",110.31,69.1,52.22,Asia,47.78
Argentina,2022,Beverages,2481.87,"$2,326.77",155.84,128.1,56.80,South America,43.2
Japan,2021,Beverages,38958.82,"$35,391.19",177.70,512.4,32.88,Asia,67.12
Saudi Arabia,2020,Beverages,15226.56,"$12,197.03",60.73,1207.1,59.34,Asia,40.66
Argentina,2024,Frozen Food,18555.14,"$19,320.52",170.77,609.1,49.21,South America,50.79
Indonesia,2023,Prepared Food,13408.63,"$13,556.12",127.34,556.1,59.11,Asia,40.89
USA,2022,Bakery Items,34495.83,"$33,564.30",114.58,197.8,68.21,North America,31.79
Australia,2020,Fruits & Vegetables,23928.49,"$26,048.11",37.30,208.9,45.58,Oceania,54.42
India,2022,Prepared Food,755.35,$856.23,176.64,98.7,58.54,Asia,41.46
Russia,2022,Frozen Food,7876.24,"$7,870.43",198.28,1112.6,43.97,Europe,56.03
China,2024,Beverages,39979.18,"$45,547.10",57.75,615.4,59.99,Asia,40.01
China,2019,Frozen Food,27301.63,"$26,592.29",121.57,1136.2,40.22,Asia,59.78
Turkey,2024,Prepared Food,25805.54,"$20,723.45",116.33,230.1,42.70,Asia,57.3
Australia,2018,Prepared Food,29187.20,"$29,544.19",129.84,1291.9,54.07,Oceania,45.93
UK,2019,Meat & Seafood,36139.92,"$39,445.09",138.12,284.9,45.94,Europe,54.06
Indonesia,2021,Fruits & Vegetables,29254.41,"$32,371.66",166.33,476.3,60.48,Asia,39.52
South Korea,2020,Bakery Items,5358.44,"$4,466.13",86.06,1058.6,48.32,Asia,51.68
Canada,2022,Beverages,26200.53,"$29,637.18",46.49,1237.9,57.50,North America,42.5
Turkey,2024,Grains & Cereals,4939.41,"$4,710.95",44.83,943.5,60.50,Asia,39.5
Russia,2020,Meat & Seafood,43861.10,"$39,486.64",43.42,751.1,52.89,Europe,47.11
Italy,2023,Frozen Food,1833.60,"$2,054.64",64.53,1210.2,57.23,Europe,42.77
South Korea,2021,Dairy Products,5378.49,"$5,466.76",168.00,674.9,56.81,Asia,43.19
South Korea,2024,Beverages,6142.25,"$6,736.91",191.90,598.6,37.55,Asia,62.45
Brazil,2019,Frozen Food,46779.21,"$45,308.93",122.27,1251.1,39.61,South America,60.39
USA,2018,Meat & Seafood,6739.26,"$6,362.37",38.08,362.9,46.55,North America,53.45
Italy,2023,Grains & Cereals,4160.38,"$4,534.82",35.85,1361.1,47.91,Europe,52.09
Italy,2024,Prepared Food,18217.73,"$16,015.02",155.48,105.4,57.31,Europe,42.69
Turkey,2021,Bakery Items,8595.80,"$9,306.28",135.64,45.7,63.15,Asia,36.85
Japan,2019,Bakery Items,12460.30,"$11,210.97",63.36,475.8,60.34,Asia,39.66
Brazil,2023,Meat & Seafood,2797.59,"$2,471.74",59.14,786.6,47.63,South America,52.37
USA,2018,Grains & Cereals,47907.54,"$40,900.14",82.34,1101.8,46.08,North America,53.92
Italy,2024,Meat & Seafood,30966.70,"$26,421.00",84.97,333.8,48.28,Europe,51.72
Brazil,2024,Dairy Products,11294.47,"$12,771.33",96.39,1131.7,68.15,South America,31.85
Mexico,2022,Frozen Food,47286.80,"$41,615.04",31.90,1334.0,47.01,North America,52.99
South Korea,2020,Grains & Cereals,14868.54,"$16,315.60",106.98,1122.6,48.89,Asia,51.11
South Africa,2021,Frozen Food,26108.71,"$24,989.03",174.38,989.1,36.07,Africa,63.93
Germany,2020,Bakery Items,37792.37,"$32,403.20",20.30,984.9,65.86,Europe,34.14
Saudi Arabia,2020,Prepared Food,29776.58,"$25,132.16",120.54,251.6,60.49,Asia,39.51
China,2021,Grains & Cereals,33847.53,"$27,732.49",128.70,752.7,54.40,Asia,45.6
Spain,2020,Grains & Cereals,35478.26,"$32,051.74",62.91,1342.3,47.07,Europe,52.93
France,2020,Grains & Cereals,35114.25,"$33,799.51",121.65,524.5,42.63,Europe,57.37
Saudi Arabia,2024,Dairy Products,10844.82,"$11,493.09",136.83,253.4,64.22,Asia,35.78
Spain,2024,Grains & Cereals,39590.67,"$40,289.66",91.65,211.4,51.45,Europe,48.55
Spain,2021,Prepared Food,33519.55,"$37,140.03",78.84,577.3,40.99,Europe,59.01
USA,2019,Fruits & Vegetables,31286.33,"$30,230.48",176.42,745.7,36.95,North America,63.05
China,2018,Meat & Seafood,34407.70,"$32,250.86",130.36,1092.2,44.54,Asia,55.46
UK,2021,Bakery Items,15441.34,"$15,527.29",162.40,316.6,32.12,Europe,67.88
Japan,2018,Beverages,10770.99,"$11,922.17",130.51,204.1,43.42,Asia,56.58
Canada,2018,Beverages,4273.51,"$4,600.98",161.32,125.5,31.28,North America,68.72
Japan,2018,Beverages,14960.97,"$16,460.24",94.82,1185.5,47.19,Asia,52.81
France,2021,Beverages,1313.25,"$1,494.88",89.91,497.1,45.36,Europe,54.64
UK,2024,Fruits & Vegetables,25000.06,"$24,375.61",63.90,1312.0,38.13,Europe,61.87
France,2023,Bakery Items,19860.94,"$18,002.13",197.47,1281.8,49.06,Europe,50.94
India,2018,Grains & Cereals,10529.83,"$10,207.94",123.53,1289.6,42.00,Asia,58
France,2024,Fruits & Vegetables,10476.49,"$11,197.17",129.51,543.1,38.77,Europe,61.23
South Africa,2019,Bakery Items,13316.16,"$11,647.55",144.89,898.3,32.34,Africa,67.66
Australia,2023,Fruits & Vegetables,45663.39,"$52,305.81",26.76,521.6,59.78,Oceania,40.22
Italy,2020,Prepared Food,4142.66,"$4,272.11",110.01,341.0,39.98,Europe,60.02
USA,2020,Frozen Food,5599.71,"$6,451.73",32.56,633.4,53.16,North America,46.84
USA,2018,Meat & Seafood,36810.09,"$38,564.99",54.73,1261.3,50.71,North America,49.29
Argentina,2023,Grains & Cereals,8411.76,"$8,059.49",73.43,475.9,51.85,South America,48.15
Saudi Arabia,2024,Grains & Cereals,23330.70,"$24,990.56",104.52,135.4,34.14,Asia,65.86
Saudi Arabia,2019,Beverages,15867.24,"$16,358.67",160.22,604.6,31.21,Asia,68.79
Germany,2024,Frozen Food,33824.82,"$37,275.06",151.76,608.4,41.68,Europe,58.32
Russia,2021,Bakery Items,31018.44,"$31,061.98",70.30,1223.5,38.36,Europe,61.64
Indonesia,2024,Meat & Seafood,33443.55,"$26,894.70",118.46,170.3,68.37,Asia,31.63
Russia,2023,Prepared Food,40030.58,"$42,681.97",62.25,1202.8,55.35,Europe,44.65
Argentina,2024,Beverages,25338.81,"$28,773.74",61.82,697.9,66.87,South America,33.13
UK,2022,Prepared Food,4738.62,"$5,043.42",99.09,629.7,38.12,Europe,61.88
Australia,2021,Bakery Items,41477.87,"$37,213.44",138.23,1235.9,39.81,Oceania,60.19
Canada,2022,Fruits & Vegetables,20168.30,"$23,300.52",150.91,941.0,68.16,North America,31.84
USA,2023,Beverages,35957.36,"$41,729.40",198.70,224.1,66.30,North America,33.7
